"codi_carrer";"des_sigla";"nom_carrer";"nom_complert";"nom_barri";"codi_postal";"nroi";"nrof";"nom_llistat"
"5";"AVINGUDA";"ABAT MARCET, DE L'";"AVINGUDA DE L'ABAT MARCET";"POBLE NOU - ZONA ESPORTIVA";"08225";"2";"368";"ABATMARCET"
"5";"AVINGUDA";"ABAT MARCET, DE L'";"AVINGUDA DE L'ABAT MARCET";"SANT PERE";"08225";"1";"241";"ABATMARCET"
"5";"AVINGUDA";"ABAT MARCET, DE L'";"AVINGUDA DE L'ABAT MARCET";"TORRENT D'EN PERE PARRES";"08225";"251";"353";"ABATMARCET"
"5943";"PONT";"ABAT MARCET, DE L'";"PONT DE L'ABAT MARCET";"POBLE NOU - ZONA ESPORTIVA";"08225";"1";"1";"ABATMARCET"
"15";"CARRER";"ABLA, D'";"CARRER D'ABLA";"CAN BOADA CASC ANTIC";"08225";"1";"17";"ABLA"
"20";"CARRER";"ABRUCENA, D'";"CARRER D'ABRUCENA";"POBLE NOU - ZONA ESPORTIVA";"08225";"2";"48";"ABRUCENA"
"20";"CARRER";"ABRUCENA, D'";"CARRER D'ABRUCENA";"POBLE NOU - ZONA ESPORTIVA";"08225";"3";"43";"ABRUCENA"
"5680";"PLACETA";"ADELINA GREGORIANO, D'";"PLACETA D'ADELINA GREGORIANO";"CA N'AURELL";"08224";"1";"5";"ADELINAGREGORIANO"
"5680";"PLACETA";"ADELINA GREGORIANO, D'";"PLACETA D'ADELINA GREGORIANO";"CA N'AURELL";"08224";"2";"4";"ADELINAGREGORIANO"
"25";"CARRER";"ADRA, D'";"CARRER D'ADRA";"POBLE NOU - ZONA ESPORTIVA";"08225";"1";"107";"ADRA"
"25";"CARRER";"ADRA, D'";"CARRER D'ADRA";"POBLE NOU - ZONA ESPORTIVA";"08225";"2";"94";"ADRA"
"26";"AVINGUDA";"ÀFRICA,D'";"AVINGUDA D'ÀFRICA";"CAN PARELLADA";"08228";"33";"105";"AFRICA"
"26";"AVINGUDA";"ÀFRICA,D'";"AVINGUDA D'ÀFRICA";"CAN PARELLADA";"08228";"38";"86";"AFRICA"
"30";"CARRER";"AGRICULTURA, DE L'";"CARRER DE L'AGRICULTURA";"CAN PALET";"08223";"1";"123";"AGRICULTURA"
"30";"CARRER";"AGRICULTURA, DE L'";"CARRER DE L'AGRICULTURA";"CAN PALET";"08223";"2";"134";"AGRICULTURA"
"5541";"PLAÇA";"AGUSTÍ BARTRA, D'";"PLAÇA D'AGUSTÍ BARTRA";"CAN BOADA CASC ANTIC";"08225";"1";"7";"AGUSTIBARTRA"
"5541";"PLAÇA";"AGUSTÍ BARTRA, D'";"PLAÇA D'AGUSTÍ BARTRA";"CAN BOADA CASC ANTIC";"08225";"2";"10";"AGUSTIBARTRA"
"5839";"CARRER";"AGUSTÍ FABRA, D'";"CARRER D'AGUSTÍ FABRA";"DISSEMINATS - D5";"08225";"2";"70";"AGUSTIFABRA"
"5839";"CARRER";"AGUSTÍ FABRA, D'";"CARRER D'AGUSTÍ FABRA";"DISSEMINATS - D5";"08225";"21";"51";"AGUSTIFABRA"
"45";"PASSATGE";"AGUT, DE L'";"PASSATGE DE L'AGUT";"CAN BOADA CASC ANTIC";"08225";"1";"7";"AGUT"
"45";"PASSATGE";"AGUT, DE L'";"PASSATGE DE L'AGUT";"CAN BOADA CASC ANTIC";"08225";"2";"2";"AGUT"
"5502";"CARRER";"AIGUA, DE L'";"CARRER DE L'AIGUA";"DISSEMINATS - D3.1";"08227";"4";"6";"AIGUA"
"5502";"CARRER";"AIGUA, DE L'";"CARRER DE L'AIGUA";"P.I. ELS BELLOTS";"08227";"10";"32";"AIGUA"
"5609";"PLAÇA";"AIGUA, DE L'";"PLAÇA DE L'AIGUA";"SANT PERE NORD";"08225";"1";"1";"AIGUA"
"5501";"CARRER";"AIRE, DE L'";"CARRER DE L'AIRE";"DISSEMINATS - D3.1";"08227";"51";"67";"AIRE"
"5501";"CARRER";"AIRE, DE L'";"CARRER DE L'AIRE";"DISSEMINATS - D3.1";"08227";"68";"72";"AIRE"
"5501";"CARRER";"AIRE, DE L'";"CARRER DE L'AIRE";"P.I. ELS BELLOTS";"08227";"1";"41";"AIRE"
"5011";"PLAÇA";"AJUNTAMENT, DE L'";"PLAÇA DE L'AJUNTAMENT";"CENTRE";"08221";"1";"1";"AJUNTAMENT"
"50";"CARRER";"ÀLABA, D'";"CARRER D'ÀLABA";"TORRE-SANA";"08227";"10";"52";"ALABA"
"50";"CARRER";"ÀLABA, D'";"CARRER D'ÀLABA";"TORRE-SANA";"08227";"13";"75";"ALABA"
"85";"CARRER";"ALACANT, D'";"CARRER D'ALACANT";"CA N'AURELL";"08224";"1";"35";"ALACANT"
"85";"CARRER";"ALACANT, D'";"CARRER D'ALACANT";"CA N'AURELL";"08224";"2";"40";"ALACANT"
"55";"CARRER";"ALBACETE, D'";"CARRER D'ALBACETE";"POBLE NOU - ZONA ESPORTIVA";"08225";"1";"37";"ALBACETE"
"55";"CARRER";"ALBACETE, D'";"CARRER D'ALBACETE";"POBLE NOU - ZONA ESPORTIVA";"08225";"2";"24";"ALBACETE"
"60";"CARRER";"ALBÉNIZ, D'";"CARRER D'ALBÉNIZ";"TORRENT D'EN PERE PARRES";"08225";"1";"25";"ALBENIZ"
"60";"CARRER";"ALBÉNIZ, D'";"CARRER D'ALBÉNIZ";"TORRENT D'EN PERE PARRES";"08225";"2";"14";"ALBENIZ"
"86";"CARRER";"ALBERT EINSTEIN, D'";"CARRER D'ALBERT EINSTEIN";"P.I. SANTA MARGARIDA";"08223";"18";"50";"ALBERTEINSTEIN"
"86";"CARRER";"ALBERT EINSTEIN, D'";"CARRER D'ALBERT EINSTEIN";"P.I. SANTA MARGARIDA";"08223";"19";"61";"ALBERTEINSTEIN"
"84";"CARRER";"ALBÍ, D'";"CARRER D'ALBÍ";"ÈGARA";"08226";"1";"31";"ALBI"
"84";"CARRER";"ALBÍ, D'";"CARRER D'ALBÍ";"ÈGARA";"08226";"2";"32";"ALBI"
"970";"CARRER";"ALBINYANA, D'";"CARRER D'ALBINYANA";"CAN PALET";"08223";"2";"134";"ALBINYANA"
"970";"CARRER";"ALBINYANA, D'";"CARRER D'ALBINYANA";"CAN PALET";"08223";"3";"143";"ALBINYANA"
"2580";"CARRER";"ALCALDE PARELLADA, DE L'";"CARRER DE L'ALCALDE PARELLADA";"ANTIC POBLE DE SANT PERE";"08222";"2";"6";"ALCALDEPARELLADA"
"5921";"CARRER";"ALCALDE PICAÑOL, DE L'";"CARRER DE L'ALCALDE PICAÑOL";"ANTIC POBLE DE SANT PERE";"08222";"7";"19";"ALCALDEPICANZZOL"
"65";"CARRER";"ALCOI, D'";"CARRER D'ALCOI";"POBLE NOU - ZONA ESPORTIVA";"08225";"1";"119";"ALCOI"
"65";"CARRER";"ALCOI, D'";"CARRER D'ALCOI";"POBLE NOU - ZONA ESPORTIVA";"08225";"6";"110";"ALCOI"
"65";"CARRER";"ALCOI, D'";"CARRER D'ALCOI";"SANT PERE NORD";"08226";"114";"156";"ALCOI"
"5970";"PASSATGE";"ALCUBA, DE L'";"PASSATGE DE L'ALCUBA";"SEGLE XX";"08223";"1";"1";"ALCUBA"
"840";"CARRER";"ALEMANYA, D'";"CARRER D'ALEMANYA";"CAN PARELLADA";"08228";"5";"5";"ALEMANYA"
"840";"CARRER";"ALEMANYA, D'";"CARRER D'ALEMANYA";"CAN PARELLADA";"08228";"108";"146";"ALEMANYA"
"70";"CARRER";"ALEXANDER BELL, D'";"CARRER D'ALEXANDER BELL";"CA N'AURELL";"08224";"1";"161";"ALEXANDERBELL"
"70";"CARRER";"ALEXANDER BELL, D'";"CARRER D'ALEXANDER BELL";"CA N'AURELL";"08224";"4";"134";"ALEXANDERBELL"
"73";"CARRER";"ALEXANDRE DE RIQUER, D'";"CARRER D'ALEXANDRE DE RIQUER";"POBLE NOU - ZONA ESPORTIVA";"08225";"1";"47";"ALEXANDREDERIQUER"
"73";"CARRER";"ALEXANDRE DE RIQUER, D'";"CARRER D'ALEXANDRE DE RIQUER";"POBLE NOU - ZONA ESPORTIVA";"08225";"6";"48";"ALEXANDREDERIQUER"
